名  称,类别,最大占比,相似或相克,水分-克,能量-千卡,蛋白质-克,脂肪-克,碳水化合物-克,膳食纤维-克,胆固醇-毫克,维生素A-微克,维生素B1-毫克,维生素B2-毫克,烟酸-毫克,维生素C-毫克,维生素E-毫克,钙-毫克,磷-毫克,钾-毫克,钠-毫克,镁-毫克,铁-毫克,锌-毫克,硒-微克,铜-毫克,锰-毫克
小麦粉（标准粉）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,9.9,362,15.7,2.5,70.9,2.1,0,12.7,0.46,0.05,1.91,0,0.32,31,167,190,3.099999905,50,0.6,0.2,7.42,0.06,0.1
小麦粉（特二粉）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,12,352,10.4,1.1,75.9,1.6,0,0,0.15,0.11,2,0,1.25,30,120,124,1.5,48,3,0.96,6.01,0.58,0.92
小麦粉（特一，富强粉）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,12.7,351,10.3,1.1,75.2,0.6,0,0,0.17,0.06,2,0,0.73,27,114,128,2.7,32,2.7,0.97,6.88,0.26,0.77
小麦粉（代表值）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,11.2,359,12.4,1.7,74.1,0.8,0,0,0.2,0.06,1.57,0,0.66,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37
全麦面粉,面粉,0.4,,10.74,340,13.21,2.5,71.97,10.7,0,0,0.502,0.165,4.957,0,0,34,357,363,2,137,3.6,2.6,61.8,0.41,4.067
荞麦面,面粉,1,,14.2,340,11.3,2.8,70.2,0,0,2,0.26,0.1,3.47,0,5.31,71,243,304,0.9,151,7,1.94,2.16,0.39,0.59
玉米面（强化豆粉）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,13.60000038,352,11.80000019,4.900000095,68.3,6.400000095,0,0,0.209999993,0.039999999,3.099999905,0,7.130000114,18,234,370,1.600000024,106,3.400000095,1.28,9.15,0.38,0.74
玉米面（白）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,13.39999962,352,8,4.5,73.1,6.199999809,0,0,0.340000004,0.059999999,3,0,6.889999866,12,187,276,0.5,111,1.299999952,1.22,1.58,0.23,0.4
玉米面（黄）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,11.2,350,8.5,1.5,78.4,0,0,3,0.07,0.04,0.8,0,0.98,22,196,249,2.299999952,84,0.4,0.08,2.68,0.01,0.02
小米面,面粉,1,,11.8,357,7.2,2.1,77.7,0.7,0,0,0.13,0.08,2.5,0,0,40,159,129,6.2,57,6.1,1.18,2.82,0.32,0.55
绿豆面,面粉,1,,9.600000381,341,20.79999924,0.699999988,65.8,5.800000191,0,8,0.449999988,0.119999997,0.699999988,0,0,134,304,1055,3.299999952,0,8.100000381,2.68,10.58,1.55,0
莜麦面,面粉,0.2,,8,391,13.7,8.6,67.7,0,0,0,0.2,0.09,0.29,0,0.39,40,259,255,1.8,62,3.8,2.18,2.9,0.41,1.71
牛肉（肥瘦）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,68.1,190,18.1,13.4,0,0,84,4.5,0.03,0.11,7.4,0,0.22,8,168,216,57.4,20,3.2,4.73,6.45,0.18,0.04
牛肉（后腱）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,78.1,93,18,1.8,1.1,0,58,1.5,0.02,0.18,3.7,0,0.74,6,195,182,70.6,20,2.3,3.93,3.82,0.1,0.04
牛肉（后腿）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,77.1,98,19.8,2,0.1,0,58,1,0.02,0.18,5.7,0,0.81,7,210,197,30.6,21,2.1,4.07,4.96,0.11,0.02
牛肉（前腱）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,76.6,100,18.4,2.1,1.8,0,58,1,0.02,0.18,4.1,0,0.42,6,181,182,61.2,22,3,7.61,4.97,0.11,0
牛肉（前腿）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,78,95,15.7,2.4,2.7,0,58,1,0.02,0.19,3.9,0,0.71,7,181,176,54.6,20,1.6,4.5,3.51,0.11,0.05
牛肉（瘦）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,75.2,106,20.2,2.3,1.2,0,58,3,0.07,0.13,6.3,0,0.35,9,172,284,53.6,21,2.8,3.71,10.55,0.16,0.04
牛肉（里脊）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,78,107,22.2,0.9,2.4,0,63,4,0,0,7.2,0,0.8,3,241,140,75.1,29,4.4,6.92,2.76,0.11,0
牛肉（五花，肋条）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,75.1,123,18.6,5.4,0,0,84,3.5,0.06,0.13,3.1,0,0.37,19,120,217,66.6,14,2.7,4.05,2.35,0.07,0.06
猪肉（脖子，猪脖）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,35.8,576,8,60.5,0,0,94,9,0.21,0.07,1.7,0,0.61,4,77,99,54,7,1.2,0.59,2.21,0.14,0
猪肉（肥，瘦）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,46.8,395,13.2,37,2.4,0,80,0,0.22,0.16,3.5,0,0.49,6,162,204,59.4,16,1.6,2.06,11.97,0.06,0.03
猪肉（后蹄膀，后肘）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,57.6,320,17,28,0,0,79,4,0.37,0.18,2.6,0,0.48,6,142,188,76.8,12,1,1.77,6.87,0.19,0.01
猪肉（后臀尖）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,55.1,331,14.6,30.8,0,0,0,8,0.26,0.11,2.8,0,0.95,5,130,178,57.5,12,1,0.84,2.94,0.13,0
猪肉（脊背，里脊）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,70.3,155,20.2,7.9,0.7,0,81,2.5,0.47,0.12,5.2,0,0.59,6,184,317,43.2,28,1.5,2.3,5.25,0.16,0.03
猪肉（肋条肉）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,34,568,9.3,59,0,0,98,5,0.09,0.04,2.4,0,0.05,6,67,53,36.7,5,0.8,0.73,2.22,0.13,0.02
猪肉（瘦）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,71,143,20.3,6.2,1.5,0,81,22,0.54,0.1,5.3,0,0.34,6,189,305,57.5,25,3,2.99,9.5,0.14,0.03
猪肉（腿）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,67.6,190,17.9,12.8,0.8,0,79,1.5,0.53,0.24,4.9,0,0.3,6,189,305,63,25,0.9,2.99,9.5,0.11,0.03
羊肉（后腿）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,78.8,102,15.5,4,0.9,0,60,4,0.06,0.22,4.8,0,0.37,11,182,143,90.6,20,1.7,2.18,4.49,0.16,0.08
羊肉（前腿）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,78.3,111,19.7,3.6,0,0,60,5.5,0.06,0.24,4.8,0,0.49,12,181,108,92,18,1.5,2.21,5.38,0.15,0.06
羊肉（肥，瘦）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,66.9,198,19,14.1,0,0,92,11,0.05,0.14,4.5,0,0.26,6,146,232,80.6,20,2.3,3.22,32.2,0.75,0.02
羊肉（胸脯，腰窝）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,77.6,109,17.2,4.5,0,0,60,8,0.04,0.22,4,0,0.43,12,150,170,81.9,17,2.3,2.2,6.74,0.14,0.09
羊肉（里脊）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,78.1,94,17.1,2,2,0,60,3,0.05,0.29,5.2,0,0.53,14,184,161,92.1,22,1.7,1.98,5.53,0.15,0.05
羊肉（瘦）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,74.2,118,20.5,3.9,0.2,0,60,5.5,0.15,0.16,5.2,0,0.31,9,196,403,69.4,22,3.9,6.06,7.18,0.12,0.03
鳕鱼（鳕狭，明太鱼）,海鲜,1,,77.4,88,20.4,0.5,0.5,0,114,7,0.04,0.13,2.7,0,0,42,232,321,130.3,84,0.5,0.86,24.8,0.01,0.01
鲅鱼（马鲛鱼，燕鲅鱼，巴鱼）,海鲜,1,,72.5,122,21.2,3.1,2.2,0,75,9.5,0.03,0.04,2.1,0,0.71,35,130,370,74.2,50,0.8,1.39,51.81,0.37,0.03
海虾,海鲜,1,虾米（海米）_虾皮_海虾_龙虾_基围虾_对虾_河虾_虾虎（琵琶虾）,79.3,79,16.8,0.6,1.5,0,117,0,0.01,0.05,1.9,0,2.79,146,196,228,302.2,46,3,1.44,56.41,0.44,0.11
鸡蛋（白皮）,鸡蛋,1,鸡蛋（白皮）_鸡蛋（红皮）_鸡蛋白_鸡蛋黄,75.8,138,12.7,9,1.5,0,585,155,0.09,0.31,0.2,0,1.23,48,176,98,94.7,14,2,1,16.55,0.06,0.03
鸡蛋（红皮）,鸡蛋,1,鸡蛋（白皮）_鸡蛋（红皮）_鸡蛋白_鸡蛋黄,73.8,156,12.8,11.1,1.3,0,585,97,0.13,0.32,0.2,0,2.29,44,182,121,125.7,11,2.3,1.01,14.98,0.07,0.04
玉米（鲜）,蔬菜,1,,71.3,112,4,1.2,22.8,2.9,0,0,0.16,0.11,1.8,16,0.46,0,117,238,1.1,32,1.1,0.9,1.63,0.09,0.22
大白菜（代表值）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,94.4,20,1.6,0.2,3.4,0.9,0,7,0.05,0.04,0.65,37.5,0.36,57,33,134,68.9,12,0.8,0.46,0.57,0.06,0.19
小白菜（青菜，白菜）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,94.8,14,1.4,0.3,2.4,0,0,154,0.01,0.05,0,64,0.4,117,26,116,132.2,30,1.3,0.23,0.39,0.02,0.15
圆白菜（卷心菜）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,93.2,24,1.5,0.2,4.6,1,0,6,0.03,0.03,0.4,40,0.5,49,26,124,27.2,12,0.6,0.25,0.96,0.04,0.18
奶白菜,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,92.6,21,2.7,0.2,3.3,1.5,0,95,0.02,0.1,0.59,37.4,0.16,66,55,126,170.2,41,1,0.28,0.43,0.05,0.24
娃娃菜,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,95,13,1.9,0.2,2.4,0,0,4,0.04,0.03,0.61,12,0,78,58,278,19.3,17,0.4,0.35,0.16,0.03,0.13
酸白菜（酸菜）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,94.9,10,0.7,0.2,2.6,0.5,0,5,0.01,0.01,0.6,2,0.86,48,38,104,43.1,21,0.3,0.03,0.16,0.04,0.01
白萝卜（莱菔）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,94.6,16,0.7,0.1,4,0,0,0,0.02,0.01,0.14,19,0,47,16,167,54.3,12,0.2,0.14,0.12,0.01,0.05
卞萝卜（红皮萝卜）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,94.2,20.2,0.8,0.1,5.3,1.1,0,0,0.01,0.02,0.22,5.6,0,39,27,16,111.2,24,0.3,0.23,0.27,0.02,0.04
红心萝卜（心里美）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,88,43.8,1.2,0,11.2,1.4,0,7,0.02,0.02,0.1,20,0,86,30,385,49.1,23,0.9,0.74,0.73,0.05,0.08
胡萝卜（红）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,89.2,41.2,1,0.2,9.9,1.1,0,344,0.04,0.03,0.6,13,0.41,32,27,190,71.4,14,1,0.23,0.63,0.08,0.24
胡萝卜（黄）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,87.4,48.6,1.4,0.2,11.5,1.3,0,344,0.04,0.04,0.2,16,0,32,16,193,25.1,7,0.5,0.14,2.8,0.03,0.07
茴香菜（小茴香）,蔬菜,1,,91.2,27,2.5,0.4,4.2,1.6,0,201,0.06,0.09,0.8,26,0.94,154,23,149,186.3,46,1.2,0.73,0.77,0.04,0.31
豆角,蔬菜,1,扁豆（鲜，月亮菜）_豆角_豆角（白）,90,34,2.5,0.2,6.7,2.1,0,17,0.05,0.07,0.9,18,2.24,29,55,207,3.4,35,1.5,0.54,2.16,0.15,0.41
芹菜（茎）,蔬菜,1,芹菜（白茎，旱芹，药芹）_芹菜（茎）_芹菜（叶）,93.1,22.4,1.2,0.2,4.5,1.2,0,28,0.02,0.06,0.4,8,1.32,80,38,206,159,18,1.2,0.24,9.57,0.09,0.16
青椒（灯笼椒，柿子椒，大椒）,蔬菜,1,,94.6,18,1,0.2,3.8,1.5,0,76,0.02,0.02,0.39,130,0.41,14,20,142,3.3,12,0.8,0.19,0.38,0.09,0.12
韭菜,蔬菜,1,韭菜_韭芽（韭黄）_青蒜_蒜黄,92,25,2.4,0.4,4.5,0,0,133,0.04,0.05,0.86,2,0.57,44,45,241,5.8,24,0.7,0.25,1.33,0.05,0.21
大葱,蔬菜,1,葱头（洋葱）,91.8,28,1.6,0.3,5.8,1.3,0,5,0.06,0.03,0.5,3,0,63,25,110,8.9,16,0.6,0.29,0.21,0.03,0.34
葱头（洋葱）,蔬菜,1,大葱,89.2,40,1.1,0.2,9,0.9,0,2,0.03,0.03,0.3,8,0.14,24,39,147,4.4,15,0.6,0.23,0.92,0.05,0.14
西葫芦,蔬菜,1,,94.9,19.2,0.8,0.2,3.8,0.6,0,3,0.01,0.03,0.2,6,0.34,15,17,92,5,9,0.3,0.12,0.28,0.03,0.04
韭芽（韭黄）,蔬菜,1,韭菜_韭芽（韭黄）_青蒜_蒜黄,93.2,24,2.3,0.2,3.9,1.2,0,22,0.03,0.05,0.7,15,0.34,25,48,192,6.9,12,1.7,0.33,0.76,0.1,0.17
油菜,蔬菜,1,油菜_油菜（黑）_油菜苔,95.6,14,1.3,0.5,2,1.1,0,90,0.02,0.05,0.55,36,0.88,148,23,175,73.7,25,0.9,0.31,0.73,0.03,0.23
香菜（芫荽，香荽）,蔬菜,1,,90.5,33.4,1.8,0.4,6.2,1.2,0,96.5,0.04,0.14,2.2,48,0.8,101,49,272,48.5,33,2.9,0.45,0.53,0.21,0.28
豆腐（代表值）,豆制品,1,豆腐（北豆腐）_豆腐（代表值）_豆腐（南豆腐）_豆腐（内酯）,83.8,84,6.6,5.3,3.4,0.4,0,0,0.06,0.02,0.21,0.2,5.79,78,82,118,5.6,41,1.2,0.57,1.5,0.08,0.12
松蘑（松口蘑，松茸）,菌菇藻,1,,16.1,207,20.3,3.2,48.2,47.8,0,0,0.01,1.48,0,0,3.09,14,50,93,4.3,0,86,6.22,98.44,10.3,1.63
香菇（鲜，香蕈，冬菇）,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,91.7,25.6,2.2,0.3,5.2,3.3,0,0,0,0.08,2,1,0,2,53,20,1.4,11,0.3,0.66,2.58,0.12,0.25
辣椒（红，小）,调料,1,,88.8,38.4,1.3,0.4,8.9,3.2,0,116,0.03,0.06,0.8,144,0.44,37,95,222,2.6,16,1.4,0.3,1.9,0.11,0.18
辣椒（尖，青）,调料,1,,93.4,22,0.8,0.3,5.2,2.1,0,98,0.02,0.02,0.62,59,0.38,11,20,154,7,15,0.3,0.21,0.02,0.05,0.05
姜,调料,1,,87,46.4,1.3,0.6,10.3,2.7,0,14,0.02,0.03,0.8,4,0,27,25,295,14.9,44,1.4,0.34,0.56,0.14,3.2
姜（干）,调料,1,,14.9,308.4,9.1,5.7,64,17.7,0,0,0,0.1,0,0,0,62,22,41,9.9,0,85,2.3,3.1,0.96,10.65
姜（子姜，嫩姜）,调料,1,,94.5,20.8,0.7,0.6,3.7,0.9,0,0,0,0.01,0.3,2,0,9,11,160,1.9,24,0.8,0.17,0.1,0.03,3.38
酱油,调料,1,,67.3,63.4,5.6,0.1,10.1,0.2,0,0,0.05,0.13,1.7,0,0,66,204,337,5757,156,8.6,1.17,1.39,0.06,1.11
混合油（菜+棕）,调料,1,,0,895,0,99.9,1,0,0,0,0,0.09,0.1,0,12.05,75,,,10.5,,4.1,,,,
菜籽油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,60.89,9,9,2,7,3,3.7,0.54,0,0.18,0.11
大麻油,调料,1,,0.3,897,0,99.9,0,0,0,0,0,0,0,0,8.55,15,6,3,1.5,4,3.1,0.43,0,0.1,0.02
豆油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,93.08,13,7,3,4.9,3,2,1.09,0,0.16,0.43
胡麻油,调料,1,,0,900,0,100,0,0,0,0,0,0,0,0,389.9,3,5,0,0.6,1,0.2,0.3,0,0.02,0.03
花生油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,42.06,12,15,1,3.5,2,2.9,0.48,0,0.15,0.33
葵花籽油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,54.6,2,4,1,2.8,4,1,0.11,0,0,0.02
盐,调料,1,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,22,,,25127.2,,1,,,,
味精,调料,1,,0.2,268,40.1,0.2,26.5,0,0,0,0.08,0,0.3,0,0,100,4,4,8160,7,1.2,0.31,0.98,0.12,0.67
胡椒粉,调料,1,,10.5,357,9.6,2.2,74.6,2.3,0,10,0,0,1.8,0,0,2,172,154,4.9,128,91,1.23,7.64,0.32,0.79
芝麻油（香油）,调料,1,,0.1,898,0,99.7,0.2,0,0,0,0,0,0,0,68.53,9,4,0,1.1,3,2.2,0.17,0,0.05,0.76
大葱,调料,1,,91.8,28,1.6,0.3,5.8,1.3,0,5,0.06,0.03,0.5,3,0,63,25,110,8.9,16,0.6,0.29,0.21,0.03,0.34
小葱,调料,1,,92.7,26.8,1.6,0.4,4.9,1.4,0,70,0.05,0.06,0.4,21,0.49,72,26,143,10.4,18,1.3,0.35,1.06,0.06,0.16
葱头（洋葱）,调料,1,,89.2,40,1.1,0.2,9,0.9,0,2,0.03,0.03,0.3,8,0.14,24,39,147,4.4,15,0.6,0.23,0.92,0.05,0.14
大蒜、生的,调料,1,,58.58,149,6.36,0.5,33.06,2.1,,,0.2,0.11,0.7,31.2,,181,153,401,17,25,1.7,1.16,14.2,0.3,1.67
大蒜（白皮，鲜）,调料,1,,66.6,128,4.5,0.2,27.6,1.1,0,3,0.04,0.06,0.6,7,1.07,39,117,302,19.6,21,1.2,0.88,3.09,0.22,0.29
白糖（绵白糖）,调料,1,,0.9,396,0.1,0,98.9,0,0,0,0,0,0.2,0,0,6,3,2,2,2,0.2,0.07,0.38,0.02,0.08
白砂糖,调料,1,,0,400,0,0,99.9,0,0,0,0,0,0,0,0,20,8,5,0.4,3,0.6,0.06,0,0.04,0.09
